distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
7016,4288.3573,0.2724919933496995,-1.3902063388572323,-1.3315523109789316,32525.2395,42379.55082,RE-5,2946,IT-13,56681,29190.362999999998,3034,14164,907,-8.165592381333878
5223,3779.5255,0.20488912115663074,-0.8678636635372592,-0.7199042304425863,28655.7217,34146.26994,RE-0,3162,IT-B,21137,34778.458,478,13643,1437,-21.34868582641278
5621,3373.0807,-1.4031959611033358,-0.7269401594429085,0.1437685889323407,30524.5671,32143.32303,RE-F,4177,IT-B,43742,33284.777,9876,15001,1190,-26.01342882425531
2079,12604.1424,-1.513581147949455,0.06924593346119101,-0.11067428662111999,43109.4366,22653.88045,RE-B,2476,IT-0,66635,23178.492000000002,5539,16054,1296,-20.79598432014282
1995,18608.0976,-1.0453408604604386,1.693779350575792,1.036378475828577,33459.4053,49884.72107,RE-9,905,IT-0,38405,25871.362999999998,13874,19105,803,-21.3650678271279
4463,3611.2382,1.3175652801765227,1.1196642853563632,0.0013373268488758344,29235.8011,32405.793719999998,RE-1,3583,IT-3,54682,30307.429,27650,12803,1339,-10.866995402729227
4121,1387.9591,-0.8114058536549034,-0.6901342621448089,-2.2902254417805494,28378.8506,17456.114169999997,RE-0,757,IT-12,44874,29228.447,31558,12568,1029,-17.973489809641237
6932,1419.9883,0.7200001389931923,-0.3495251698814323,-1.7670773545863019,16457.429,40317.21147,RE-0,3453,IT-0,71888,18320.013,15867,7155,1422,-21.34408548596829
2934,7264.8722,0.7328312052776957,1.6210229331710202,-0.4216962661128716,47374.5163,16084.3149,RE-2,1315,IT-F,26724,26209.163500000002,2043,12560,1158,-36.63469673556122
6457,8245.3336,0.07268899622715884,0.5870172074369066,-1.4104862058341263,35670.1034,39425.13801,RE-11,4375,IT-0,43079,20164.27,18178,16549,1747,13.215100829504545
3538,6810.4909,0.5934524946722907,-0.040449070673826665,-0.21330088076108847,15036.5343,31939.2635,RE-9,3523,IT-11,61074,26209.163500000002,24271,14340,1287,-26.114846508846327
4220,5174.1181,1.6453442165144676,-1.7408170218978916,-0.7763026876805257,31952.9862,28996.55304,RE-2,4081,IT-C,18195,20801.314,8630,11631,1668,-2.9635977751034237
3880,6087.8133,0.05094175600031894,1.7040727348141889,-1.1943736738482353,33642.7924,45961.08692,RE-5,946,IT-12,63785,31741.542,27840,16539,1302,39.96104487756261
6198,5946.0008,-0.8586764652055823,-0.6446695722897086,1.7804002891807809,34222.413,30045.73805,RE-1,2291,IT-B,46970,16923.775,26202,17732,1268,-125.35317700657863
4196,2775.1451,0.8188448427145255,0.08378878294303382,-0.40488550377003585,45245.674000000006,28012.536460000003,RE-9,3998,IT-8,67087,37514.074,30488,7470,1285,-2.048353847414464
3302,17635.0669,-1.3388167322502027,-0.1690698335539291,0.7808883026915865,47970.8062,27288.46758,RE-10,2536,IT-10,61122,24855.238999999998,17560,12578,1496,12.016311450020778
6369,15602.9341,-0.5430797992885754,1.3179326422267517,0.19715624380573699,49742.0697,24308.747030000002,RE-8,3113,IT-9,25590,27806.327,27421,8531,1150,-23.559896463503488
5449,2404.9833,-1.6997021186671937,-1.1127548037298083,0.9446160945346896,50513.4697,39480.6263,RE-6,1969,IT-3,6866,19479.881999999998,31652,7009,1375,-50.04971048325461
4700,15277.979,-0.2510769399252499,0.8973571540454289,-0.2094790462274655,48466.9494,12819.46649,RE-1,4360,IT-2,38286,27608.405,16598,11002,1336,-20.455128963532893
5778,16260.8649,-1.2333411009261708,-0.5098491621725427,-0.03262464523133471,43988.4625,25377.852590000002,RE-B,4518,IT-E,37406,30234.956000000002,18073,23120,1629,32.7067145574303
4075,10375.362,-0.22739159606014983,-1.2258867715756068,0.08528779747065211,42840.3397,31829.998560000004,RE-4,3299,IT-E,64614,32627.418999999998,6370,16791,1707,48.58377796374014
3529,2522.0625,-0.9811710601538122,0.721863028336355,-0.7120351153824529,47723.5363,38378.88499,RE-10,3624,IT-1,55500,30119.947999999997,2428,16196,1438,-3.9923702692691823
5951,13638.6865,1.1673953666771613,0.7913354578406194,-0.44757230224518396,28428.4824,24378.53364,RE-B,4398,IT-8,34511,26553.53,21354,15191,819,-20.35952249584735
5967,8445.7701,0.6249325069753965,-0.37197122218247647,-0.9473481644645372,31265.4876,16527.56011,RE-B,4614,IT-E,56194,27916.821,14568,13133,1071,-10.925120698485568
6946,12195.0583,-0.050019628656681324,0.6609487894873138,0.17710257007161448,30757.5382,29900.81582,RE-E,3141,IT-E,51390,27211.417999999998,28723,10901,1745,234.53007812913276
